"tweet_id","text","label"
"1233949048052146176","Coronavirus can be easily killed by negative interest rates, apparently.
 HTTPURL","0"
"1233985913706962944","Coronavirus: Seven cases now  in Greece HTTPURL","0"
"1233997817087062016","Washington state health officials are investigating a possible outbreak of coronavirus at a long-term nursing facility in which two people tested positive for the disease HTTPURL","0"
"1233964937703116800","Coronavirus signals wake-up call to prepare for future superbugs and domestic epidemics - Washington Times HTTPURL @USER @USER @USER @USER how prepared are we in countries like India?","0"
"1233946078543843328","@USER @USER Something to think about:

Patent 10130701, granted on 20 Nov 2018.
It refers to a live, attenuated #coronavirus that may be used as a vaccine for treating and/or preventing a disease, such as infectious bronchitis, in a subject.","0"
"1233956900921905152","Mass tonight, priest read archdiocese statement re combating coronavirus: emptied holy water fonts, discontinued hand holding for Lord's prayer, no sign of peace, no communion wine, no communion on tongue...in other words what I've done to avoid getting sick for DS last 10 years.","0"
"1233949257431834624","The evangelicals think these are the end days with trump as the anti christ!! This coronavirus is the plague that was promised, that’s why trump did nothing to prepare us for it! HTTPURL","0"
"1233963938221559808","The flu is nature being nature. Abortion is the savage nature of man left unabated. Abortion is man murdering man.. HTTPURL","0"
"1233912675953856512","How Prepared Is the U.S. for a Coronavirus Outbreak? HTTPURL","0"
"1233918164708155392","You must suspect the Chinese had a vaccine BEFORE they PURPOSELY released the Coronavirus, with NO concern for the ripple affect on the rest of humanity.
And when it's achieved their objective, they'll release the vaccine from a position of imagined power.

Or so they think!","0"
"1233992971680440320","@USER India does have a great future, if its potential is tapped, instead if we only hate and run the mills of hate mongering. Then we have no one to blame. And please remember Corona and death do not differentiate between a Sikh , Hindu, Muslim and Christian.....Fear the wrath of God.","0"
"1233984986862247936","Do Indonesians have a special immunity with the virus? not at all:
I read news from a pathologist who debunks that there is a likelihood that corona doesn’t survive in a tropical climate.","1"
"1233930160426057728","Francis Boyle: Wuhan Coronavirus Is an Offensive Biological Warfare Weapon HTTPURL via @USER","0"
"1233920275181375488","Could the Coronavirus be a result of a possible population control attempt from the Chinese Gov that’s now spreading everywhere ??

Or am I smacked 🥴😂","0"
"1233943699974971392","@USER @USER @USER @USER COVID-19 is going to be a huge strain on our first responders.","0"
"1233905644157227008","@USER @USER Just my opinion, but I don't think China has been forthcoming with statistics. Estimates place infected/deaths at least 10X the number released by Chinese officials. COVID-19 is highly infectious, likely due to genetic engineering.","1"
"1233914898549235712","Corona Virus Fakery And The Link To 5G Testing HTTPURL","1"
"1233909872552546304","idc how concerned you are about covid-19, there’s no justification to be racially insensitive. i’m sick of seeing it from these privileged and ignorant yts. leave china alone","0"
"1233939632665985024","Coronavirus Doesn’t Stop Religious Persecution in China HTTPURL","0"
"1233978666729775104","How long can coronavirus survive on surfaces? HTTPURL HTTPURL","0"
